nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
27,2.983699,-0.88542944,1.5644884,-0.3347021,-1.1401997,-1.2680701
14,-0.19507737,-0.907643,-2.5218017,9.564828,-1.1345304,-1.4964961
18,-0.19507737,-1.6756809,-2.5296423,6.6187525,4.932541,-0.91682595
27,0.8884149,0.6610749,-2.1757445,0.55119365,3.51176,1.7553297
27,3.5431037,0.92024857,-1.9500484,0.6172652,3.51176,2.0458608
27,1.5980893,0.92024857,-2.328023,0.6918537,3.51176,1.176332
27,0.44742563,0.6610749,-2.5097609,3.9541242,3.51176,1.9630042
27,2.2244608,-0.37562108,-2.5231922,4.389723,3.51176,1.5336311
27,0.17874071,-0.11644741,-2.5622396,7.2120934,3.51176,1.4661877
27,1.6360512,1.1794223,-1.7382994,0.025582371,3.51176,2.5007231
27,0.8884149,0.92024857,-2.5063539,4.411915,3.51176,2.0053096
27,1.9587275,0.14272688,-2.349859,2.0732265,3.51176,2.004949
27,2.0915942,0.14272688,-2.3575175,1.1750656,3.51176,1.8394241
27,0.44742563,1.4385965,-2.4547322,3.0236218,3.51176,1.63129
27,1.0563431,0.6610749,-1.8685116,0.21907951,3.51176,2.1900365
27,3.5431037,0.92024857,-1.7737352,0.39106733,3.51176,1.5279665
27,1.5980893,0.92024857,-1.770051,0.12120411,3.51176,1.9416502
27,-0.008168333,-0.89396906,-2.5755587,19.375837,3.51176,2.231088
27,1.2052902,-0.37562108,-2.4723637,4.609605,3.51176,2.2537458
27,0.8884149,0.92024857,-2.4482307,2.4224067,3.51176,2.0666788
27,2.3457253,0.92024857,-2.4940405,6.1386094,3.51176,2.4427192
27,2.7954674,0.40190056,-2.4640982,2.1833093,3.51176,2.504426
52,-0.04175395,1.1774331,-2.273238,0.5862719,-1.2987165,2.106911
63,0.17874071,-1.1371046,-2.5212789,3.1049707,0.46444228,-1.2469928
14,2.972097,-1.4367007,-2.2333462,1.4308492,-0.61914843,1.3217444
14,-0.19507737,-0.6453766,-2.5755587,19.36762,1.0011718,1.3594322
14,-0.19507737,0.38003305,-2.5755587,19.36762,-0.4640184,-1.435932
35,15.253286,0.1578455,1.513916,-0.332702,-0.9434819,-0.64631164
35,19.556417,-1.1380241,1.5593058,-0.35133034,-0.9434819,-1.2466022
35,21.752663,-0.61967677,1.3799975,-0.27058357,-0.9434819,-0.8737429
35,15.651887,-1.3971984,1.6590576,-0.32749474,-0.9434819,-1.3089218
35,19.5754,-0.36050248,1.558962,-0.34037971,-0.9434819,-0.9567117
35,19.537437,-0.1013288,1.4934307,-0.3355529,-0.9434819,-0.7289362
35,10.288723,0.6761929,1.9468385,-0.31976676,-0.9434819,0.016017433
35,19.727245,1.1945409,1.9522663,-0.30882177,-0.9434819,-0.2527734
35,8.83299,0.4170192,1.770613,-0.2604813,-0.9434819,-0.23250344
35,17.9897,-0.87885046,1.8578957,-0.27843755,-0.9434819,-0.4806005
35,2.9632425,-1.6563721,1.2809358,-0.30755836,-0.9434819,-1.4958322
35,2.4142704,-0.1013288,-2.461191,0.98825276,-0.9434819,-1.450876
35,2.3763084,0.4170192,-2.5241525,2.7893696,-0.9434819,-1.468516
35,19.879095,-0.36050248,1.5015349,-0.3354617,-0.9434819,-0.95668733
35,4.408849,1.1945409,-2.4853508,2.4121177,-0.9434819,0.74847937
35,15.481058,-0.87885046,1.6075121,-0.3335775,-0.9434819,-0.9569117
35,0.19772168,-1.6563721,-2.3068128,0.3380133,-0.9434819,-1.5372562
35,19.632341,0.1578455,1.5253602,-0.34369132,-0.9434819,-0.9152894
35,11.770814,-0.36050248,0.9845108,-0.33435357,-0.9434819,-1.0812241
35,17.667023,-0.36050248,1.6972663,-0.26885965,-0.9434819,-0.9361159
35,11.67591,0.93536717,1.662226,-0.35877112,-0.9434819,-0.95709044
35,8.155476,-1.1380241,1.708933,-0.33451396,-0.9434819,-0.99866486
61,0.077983856,-0.6807698,-2.5620139,15.243046,-1.1764331,-1.4540043
61,0.3554214,-0.16242181,-2.2090178,0.14766827,-1.1764331,-1.4958011
40,0.79203445,0.38857207,-1.7875279,0.31025496,-0.9435478,2.0657098
40,1.8638226,0.38857207,-2.481774,4.827352,-0.9435478,2.2758424
40,3.1239448,0.38857207,-1.8120177,0.34067118,-0.9435478,1.5486273
40,1.0402626,0.12939775,-2.4273922,1.821241,-0.9435478,1.3420709
40,2.0915942,0.12939775,-2.426459,1.8167686,-0.9435478,0.9499345
40,19.157818,-0.12977593,1.4302284,-0.28093573,-0.9435478,-0.45974988
31,0.3466688,-0.40545854,1.4621212,-0.26938978,-1.2987165,-1.5373744
14,-0.19507737,-1.1466342,-2.5218017,9.564828,-1.1452092,-1.4757898
8,6.62382,1.701207,1.5848049,-0.33485746,-1.0476205,-0.7709538
8,14.797743,-0.6313585,1.5316501,-0.33834404,-1.0476205,-1.5160041
8,19.973999,-0.37218422,1.6590576,-0.32669723,-1.0476205,-1.2880226
8,18.930046,0.40533742,1.2934022,-0.31294435,-1.0476205,-0.81174266
8,14.949592,0.92368543,1.4934307,-0.33643153,-1.0476205,-0.74985504
8,14.911629,1.4420328,1.8453943,-0.3135586,-1.0476205,-0.025190273
