nationality,pca_race_points,physical_score,race_difficulty,combined_score_per_km,consistency_score,race_performance_score
26,-0.19507737,-0.6263892,0.24018581,-0.2474267,9.358322,-1.4338717
26,-0.19507737,-0.6263892,-0.30319247,-0.215151,9.358322,-1.2061043
26,-0.19507737,-0.6263892,-2.5176263,3.729296,9.358322,1.2781618
26,-0.19507737,-0.6263892,-0.01575327,-0.23806867,9.358322,1.2165469
26,-0.19507737,-0.6263892,0.99277264,-0.27965185,9.358322,-1.4752816
26,-0.19507737,0.41030613,0.48024654,-0.32296464,9.358322,-0.7505592
26,-0.19507737,-0.10804125,0.5103314,-0.25385135,9.358322,0.05699054
26,-0.027149292,0.6694804,1.3528295,-0.30830234,9.358322,-1.3510342
26,-0.19507737,-0.6263892,-0.1475422,-0.22205488,9.358322,-1.5374061
26,-0.19507737,-0.6263892,0.5473169,-0.30590576,9.358322,-0.9162102
26,0.14367934,-0.6263892,0.49801946,-0.33488333,9.358322,-0.087933555
26,-0.13813451,0.6694804,0.46504208,-0.3180477,9.358322,0.6160668
26,-0.19507737,-0.36721554,-2.536785,4.1465793,9.358322,0.34622973
26,-0.19507737,-0.10804125,0.15692021,-0.2982153,9.358322,-1.433872
26,-0.19507737,-0.6263892,0.7494299,-0.27248815,9.358322,-1.4959886
26,-0.19507737,-0.36721554,-0.28851312,-0.28265545,9.358322,-0.067251846
26,-0.19507737,-0.6263892,-1.1218872,-0.18848075,9.358322,-1.0611688
26,-0.19507737,-0.36721554,0.54874146,-0.32422802,9.358322,-1.3303382
26,-0.19507737,-0.10804125,0.20504235,-0.23756614,9.358322,-0.3778453
26,-0.19507737,-0.10804125,0.057120375,-0.2296133,9.358322,-1.1646893
26,-0.19507737,-0.10804125,0.09863225,-0.2324154,9.358322,1.9412713
26,-0.19507737,-0.10804125,-1.2824895,-0.06802626,9.358322,-0.7298689
26,-0.19507737,-0.6263892,0.09491052,-0.28132045,9.358322,-0.56420344
26,-0.19507737,-0.10804125,0.37236392,-0.24570353,9.358322,-0.29501903
26,-0.19507737,-0.6263892,0.1028614,-0.24498987,9.358322,-1.5166976
26,-0.19507737,-0.10804125,0.43917355,-0.25104833,9.358322,-1.2889259
26,-0.19507737,-0.6263892,-0.33863533,-0.21394518,9.358322,-1.4338748
26,-0.19507737,-0.6263892,-2.3705277,1.6149436,9.358322,-1.4754562
26,-0.19507737,-0.6263892,0.4966206,-0.2584862,9.358322,-1.5374027
26,-0.19507737,-0.6263892,-2.1672697,0.53305876,9.358322,-0.7506324
26,-0.19507737,-0.10804125,0.39967704,-0.24960347,9.358322,0.6574758
26,-0.19507737,-0.6263892,0.95879984,-0.27769482,9.358322,-1.537401
26,-0.19507737,-0.10804125,-2.487222,2.0291464,9.358322,0.9884399
26,-0.19507737,-0.6263892,0.538502,-0.26115385,9.358322,-1.1853936
26,-0.19507737,-0.6263892,0.572905,-0.29805893,9.358322,-1.1025678
26,-0.19507737,-0.10804125,0.5578793,-0.32803488,9.358322,-0.23289885
26,-0.19507737,-0.6263892,0.6271286,-0.26678085,9.358322,-1.5166956
26,-0.19507737,-0.36721554,0.26443335,-0.30188373,9.358322,-1.2682203
26,0.4444741,-0.6263892,1.3907727,-0.3233148,9.358322,0.18126181
26,-0.19507737,-0.6263892,1.0544945,-0.27965185,9.358322,-1.3510432
26,-0.19507737,-0.10804125,-0.30566853,-0.20671548,9.358322,-0.64703125
26,-0.19507737,-0.10804125,0.18243925,-0.23600376,9.358322,-0.6884415
26,-0.19507737,-0.10804125,0.27362975,-0.23976818,9.358322,-1.5166973
26,-0.19507737,-0.36721554,-0.89004254,-0.24376346,9.358322,-0.005138325
26,-0.19507737,-0.6263892,0.56284654,-0.26371634,9.358322,-0.7712654
26,-0.19507737,-0.10804125,0.35626945,-0.24430305,9.358322,-1.0404496
26,-0.19507737,-0.10804125,0.27998045,-0.24438156,9.358322,1.3407866
26,-0.19507737,0.6694804,0.49837038,-0.3449322,9.358322,-1.3510449
26,-0.19507737,-0.6263892,-1.9821157,0.2723703,9.358322,-1.3925068
26,-0.19507737,-0.36721554,0.1653014,-0.29822364,9.358322,-1.4752849
26,-0.19507737,-0.10804125,0.4084277,-0.24938415,9.358322,-0.8540915
26,-0.19507737,-0.36721554,0.48935044,-0.3100478,9.358322,-1.2682191
26,-0.19507737,-0.10804125,-1.8329694,-0.05531551,9.358322,-0.33646786
26,-0.19507737,-0.10804125,0.377434,-0.30525592,9.358322,-0.6884405
26,-0.19507737,-0.6263892,0.8200463,-0.27409965,9.358322,-0.750558
26,-0.19507737,-0.6263892,0.6495518,-0.26617977,9.358322,-0.3985499
26,0.48391178,-0.6263892,0.4836499,-0.3139789,9.358322,1.133765
26,-0.19507737,-0.10804125,0.6723702,-0.25913402,9.358322,-1.3510443
26,-0.19507737,-0.6263892,0.24952242,-0.24978365,9.358322,-1.0818627
26,-0.19507737,-0.10804125,-0.1509527,-0.21511191,9.358322,0.16051917
26,-0.19507737,-0.10804125,0.55396485,-0.2861383,9.358322,-1.268219
26,-0.19507737,-0.6263892,0.52973586,-0.29690045,9.358322,-1.3510448
8,12.05553,-0.40012962,1.3876991,-0.26947978,-0.29587635,1.4034933
8,11.846739,0.11821775,1.3149457,-0.27785662,-0.29587635,0.96866024
35,15.0634775,-1.4182979,1.9432524,-0.3001355,-0.4642006,0.7202337
35,18.569408,-0.12242825,1.9896519,-0.24764645,-0.4642006,1.7349854
35,21.08833,-1.4182979,1.6633314,-0.23754276,-0.4642006,0.078649685
35,0.54233044,-0.6407762,-2.5589437,11.082585,-0.4642006,-1.4713717
35,15.96006,-0.12242825,0.61594397,-0.2872656,-0.4642006,0.32713276
35,11.789796,-0.12242825,1.4704136,-0.27237993,-0.4642006,0.36815056
35,-0.19507737,-0.6407762,-2.509638,8.36628,-0.4642006,2.0650818
35,14.342201,0.39591974,1.9477717,-0.25564778,-0.4642006,1.7348173
35,-0.19507737,0.6500277,-2.5755587,19.36762,-0.13619013,0.7589465
26,13.778573,-0.6394687,1.5786858,-0.27174073,-0.088645875,-0.12872432
26,16.643375,-0.6394687,1.3420706,-0.2908083,-0.088645875,1.0517137
61,-0.027149292,-1.6804388,1.9463471,-0.24779828,-1.2987165,-1.14397
67,-0.19507737,-0.38474962,-2.5218017,9.564828,-0.00049169984,1.1746297
26,17.79989,-1.4002379,1.3799975,-0.27136728,-0.5845853,-0.8946388
26,17.742949,-0.88189,1.648355,-0.26531944,-0.5845853,-0.66693234
26,19.138838,-0.88189,1.1841638,-0.32624996,-0.5845853,-0.97734964
26,14.93061,-1.1410637,1.1615434,-0.32358682,-0.5845853,-0.7912049
26,11.67591,-0.6227163,1.5253602,-0.3452151,-0.5845853,-0.9570706
26,-0.19507737,-1.9185859,-2.5611544,13.291729,-0.5845853,-1.373142
25,-0.19507737,-1.4220858,-2.5218017,9.564828,-0.2765809,2.2513626
25,-0.19507737,-0.1262161,-2.509638,8.36628,-0.2765809,1.402477
47,-0.19507737,0.39735392,-2.509638,8.36628,-0.32303253,1.4853027
8,21.847569,-1.6828475,1.5717223,-0.27646828,-0.93721366,-0.12837316
18,15.466557,1.173929,1.4237194,-0.27871892,-0.4716886,0.09914803
18,-0.19507737,-0.3811144,-2.509638,8.36628,-0.4716886,-0.66816324
25,-0.19507737,0.41384554,-2.5218017,9.564828,0.018368056,0.38778645
35,-0.19507737,0.14145891,-2.509638,8.36628,-0.2709163,-0.29544792
8,-0.19507737,-0.3794658,-2.509638,8.36628,-0.48984432,1.4438899
8,15.713307,1.167615,0.88864315,-0.3015355,-1.0208886,-1.3501793
8,15.656365,0.3900934,1.0270295,-0.3328771,-1.0208886,-0.5840746
8,11.27731,0.90844136,1.1016272,-0.34346342,-1.0208886,-0.99844486
8,11.846739,1.4267893,0.9114113,-0.30555823,-1.0208886,-0.68778443
8,15.196344,0.1309197,1.0694239,-0.3409696,-1.0208886,-0.9568207
8,14.968573,1.167615,1.3803425,-0.31024638,-1.0208886,-0.37711725
8,14.513029,0.90844136,1.0591588,-0.31115624,-1.0208886,-1.3502811
8,11.467119,1.685963,1.2555195,-0.3282459,-1.0208886,-1.1019878
8,15.0634775,1.4267893,1.3642782,-0.32430416,-1.0208886,-0.5634675
8,11.637949,1.685963,0.9475427,-0.3301824,-1.0208886,-1.1226357
8,11.732853,0.6492671,1.2859719,-0.29114383,-1.0208886,0.057576187
27,14.954069,-1.1760113,0.28063548,-0.29559526,-0.26047924,1.1140224
27,12.435148,-1.6943593,0.80145365,-0.2664227,-0.26047924,0.9894859
27,18.669859,-1.1760113,1.4400995,-0.28875345,-0.26047924,0.76190424
4,-0.19507737,1.7042497,-2.5479438,7.342939,0.20096186,1.38139
4,-0.19507737,-0.3691416,-2.5755587,19.36762,0.20096186,1.9185052
61,-0.19507737,-1.1641899,-2.5755587,19.36762,0.7023455,-1.4152256
35,-0.19507737,1.4317982,-2.5755587,19.36762,-0.29974824,1.2144874
26,-0.19507737,-0.89133304,-2.5755587,19.36762,0.38963667,0.7382402
35,-0.19507737,0.3911018,-2.5755587,19.36762,-0.015333603,-1.3738129
25,-0.19507737,-0.6497305,-2.5611544,13.291729,-0.7208234,-1.4352612
35,15.96006,-0.39977,1.2978606,-0.31360096,-0.70739114,-0.39776114
35,-0.19507737,0.636926,-2.5218017,9.564828,-0.70739114,-0.10916717
55,-0.19507737,0.39297843,0.29015225,-0.27697334,7.630849,-0.087955
55,-0.027149292,0.13380414,1.4297229,-0.2866457,7.630849,-0.91619974
55,-0.19507737,0.39297843,-0.3115421,-0.19683076,7.630849,0.036279943
55,-0.19507737,0.39297843,0.76971495,-0.25802118,7.630849,-0.170779
55,-0.19507737,-0.12536955,0.24018581,-0.2474267,7.630849,0.9059516
55,-0.19507737,0.13380414,-0.0034541835,-0.24578415,7.630849,-0.3571401
55,-0.19507737,-1.6804129,0.25905433,-0.33359155,7.630849,-1.1439819
55,-0.19507737,-0.12536955,-0.30319247,-0.215151,7.630849,-0.68844426
55,-0.19507737,0.39297843,-0.39333618,-0.24102777,7.630849,0.26404983
55,-0.19507737,0.13380414,-0.01860696,-0.24666545,7.630849,-0.66773605
55,-0.19507737,-0.12536955,-0.01575327,-0.23806867,7.630849,-1.1232766
55,-0.19507737,0.39297843,-0.03479282,-0.21685672,7.630849,0.34687766
55,-0.19507737,-0.12536955,0.99277264,-0.27965185,7.630849,-0.2536038
55,-0.19507737,0.39297843,1.1898878,-0.2728189,7.630849,0.88524866
55,-0.19507737,0.13380414,-1.2801094,-0.10387196,7.630849,-0.4399799
55,-0.19507737,0.13380414,1.3113505,-0.2958073,7.630849,-1.0611528
55,-0.19507737,-1.6804129,-0.36505124,-0.31663102,7.630849,-1.3924626
55,-0.19507737,0.13380414,0.6439529,-0.2765453,7.630849,-0.43996266
55,-0.19507737,0.13380414,-0.62270844,-0.20041429,7.630849,0.13980901
55,-0.19507737,-1.4212391,0.8028091,-0.333065,7.630849,-0.58490705
55,-0.19507737,0.13380414,1.1501411,-0.2905748,7.630849,0.24335006
55,-0.19507737,-1.6804129,0.2151065,-0.3326959,7.630849,-1.143982
55,-0.027149292,-0.12536955,0.5169559,-0.26029342,7.630849,-1.061145
55,-0.19507737,0.13380414,0.06333545,-0.21868107,7.630849,1.2579598
55,-0.19507737,-0.12536955,-0.1475422,-0.22205488,7.630849,-1.1853973
55,-0.19507737,-1.6804129,-2.4110534,0.5844153,7.630849,-0.5644104
55,-0.027149292,0.39297843,1.4022028,-0.29484966,7.630849,-0.9990253
55,-0.19507737,0.39297843,-0.012733392,-0.26337487,7.630849,0.94736356
55,-0.19507737,0.39297843,-0.06780416,-0.21579364,7.630849,0.9473633
55,-0.027149292,0.13380414,2.0145578,-0.29907343,7.630849,0.16053338
55,-0.19507737,-1.4212391,-0.12870853,-0.3111996,7.630849,-1.0818648
55,-0.19507737,0.13380414,0.10099339,-0.2556989,7.630849,-0.8540928
55,-0.19507737,0.13380414,0.21044335,-0.25944203,7.630849,-0.6056156
55,-0.19507737,0.13380414,-0.23180877,-0.23734063,7.630849,1.340784
55,-0.19507737,-0.12536955,0.7494299,-0.27248815,7.630849,0.90595406
55,-0.19507737,0.13380414,-0.20552719,-0.2383269,7.630849,0.34687677
55,-0.19507737,0.13380414,-0.09954284,-0.24121132,7.630849,-0.8748007
55,-0.19507737,0.13380414,0.44556168,-0.2707546,7.630849,0.8852464
55,-0.19507737,0.39297843,0.5793797,-0.2869543,7.630849,0.8024214
55,-0.19507737,0.13380414,0.11798733,-0.2541414,7.630849,-0.7298546
55,-0.19507737,0.39297843,0.36445045,-0.2775777,7.630849,0.57464993
55,-0.19507737,-0.12536955,0.1028614,-0.24498987,7.630849,-0.8955055
55,-0.19507737,0.13380414,1.108999,-0.26566502,7.630849,0.9059548
55,-0.027149292,0.39297843,0.48288754,-0.24562395,7.630849,-1.2267962
55,-0.19507737,-0.12536955,-0.33863533,-0.21394518,7.630849,-1.0611596
55,-0.19507737,-0.12536955,0.4966206,-0.2584862,7.630849,-0.9576235
55,-0.19507737,-0.12536955,-2.1672697,0.53305876,7.630849,-0.3986236
55,-0.19507737,0.13380414,1.1660626,-0.29265386,7.630849,-0.4813739
55,-0.19507737,-0.12536955,0.95879984,-0.27769482,7.630849,-0.046540003
55,-0.19507737,-0.12536955,0.538502,-0.26115385,7.630849,-0.7091464
55,-0.19507737,0.13380414,-0.037493467,-0.2134847,7.630849,1.0508953
55,-0.19507737,0.13380414,0.010969038,-0.21663943,7.630849,-0.5434974
55,-0.19507737,-1.4212391,-0.583309,-0.29282445,7.630849,-1.371758
55,-0.19507737,0.39297843,0.57800305,-0.28644583,7.630849,-1.1646869
55,-0.19507737,-0.12536955,0.6271286,-0.26678085,7.630849,-0.9576227
55,-0.19507737,-0.12536955,1.0544945,-0.27965185,7.630849,-0.2536038
55,-0.027149292,0.39297843,1.4135759,-0.26525223,7.630849,-0.9990253
55,-0.19507737,0.39297843,1.4891129,-0.30923593,7.630849,-0.108657815
55,-0.19507737,0.39297843,0.82041836,-0.29533127,7.630849,0.9680735
55,-0.19507737,0.39297843,0.48556817,-0.2810738,7.630849,-0.9783299
55,-0.19507737,-1.4212391,0.0058253114,-0.31548107,7.630849,-0.43996558
55,-0.19507737,0.13380414,-1.6351314,0.0023352327,7.630849,-1.1233019
55,-0.19507737,-1.6804129,-0.76779866,-0.3002888,7.630849,-1.3096408
55,-0.027149292,0.13380414,1.1792449,-0.30374143,7.630849,-1.0404383
55,-0.027149292,0.13380414,1.46781,-0.28066933,7.630849,-1.4959791
55,-0.19507737,0.13380414,0.13766421,-0.22452919,7.630849,0.67818105
55,-0.19507737,-1.4212391,-2.372743,0.57003003,7.630849,-0.5436653
55,-0.19507737,-0.12536955,0.56284654,-0.26371634,7.630849,-0.005128508
