_url,name,birth_year,weight,height,nationality
pierrick-fedrigo,Pierrick  Fédrigo,1978.0,66.0,172.0,France
valerio-tebaldi,Valerio  Tebaldi,1965.0,69.69842355383776,174.04719481202176,Italy
marlon-alirio-perez-arango,Marlon Alirio  Pérez,1976.0,68.0,175.0,Colombia
giampaolo-cheula,Giampaolo  Cheula,1979.0,62.0,178.0,Italy
angel-madrazo,Ángel  Madrazo,1988.0,61.0,171.0,Spain
antonio-tiberi,Antonio  Tiberi,2001.0,62.0,182.0,Italy
vincent-lavenu,Vincent  Lavenu,1956.0,60.343670079511746,174.70029625218265,France
jacky-coene,Jacky  Coene,1946.0,63.29454894042119,168.5704388838709,Belgium
gorazd-stangelj,Gorazd  Štangelj,1973.0,70.0,182.0,Slovenia
theo-verschueren,Théo  Verschueren,1943.0,63.82830338295149,175.37239008312656,Belgium
arvis-piziks,Arvis  Piziks,1969.0,70.0,176.0,Latvia
markus-eichler,Markus  Eichler,1982.0,78.0,185.0,Germany
torsten-hiekmann,Torsten  Hiekmann,1980.0,70.0,183.0,Germany
jelle-vanendert,Jelle  Vanendert,1985.0,62.0,184.0,Belgium
sven-vandousselaere,Sven  Vandousselaere,1988.0,71.0,181.0,Belgium
jean-pierre-berckmans,Jean-Pierre  Berckmans,1948.0,65.17803603950232,179.18045405230396,Belgium
pierino-primavera,Pierino  Primavera,1945.0,68.78460823546251,188.1683284395363,Italy
cristian-zanolini,Cristian  Zanolini,1968.0,79.75089249321738,193.86402411701002,Italy
maurizio-fondriest,Maurizio  Fondriest,1965.0,70.0,182.0,Italy
iban-sastre-estevez,Iban  Sastre,1977.0,79.16073778118067,184.26619158985574,Spain
fausto-dotti,Fausto  Dotti,1968.0,72.24293289602566,182.97497635307897,Italy
fabio-sacchi,Fabio  Sacchi,1974.0,68.0,183.0,Italy
pascal-eenkhoorn,Pascal  Eenkhoorn,1997.0,70.0,185.0,Netherlands
jean-zen,Jean  Zen,1981.0,72.06460951825801,179.1014184520856,France
john-van-asten,John Van Asten,1960.0,62.103209092255874,176.79335995871753,Netherlands
stefan-schumacher,Stefan  Schumacher,1981.0,71.0,183.0,Germany
mauro-simonetti,Mauro  Simonetti,1948.0,63.148209644817406,182.61669353368922,Italy
chris-wherry,Chris  Wherry,1973.0,71.98125019002656,173.56962460630015,United States
eladio-ambite,Eladio  Ambite,1970.0,74.16906239042336,184.54535886912817,Spain
daniele-pietropolli,Daniele  Pietropolli,1980.0,61.0,174.0,Italy
christian-meier,Christian  Meier,1985.0,61.0,172.0,Canada
davis-phinney,Davis  Phinney,1959.0,77.08381821766038,175.5639449287282,United States
stefano-della-santa,Stefano Della Santa,1967.0,71.45375929191478,175.53365488115938,Italy
dietrich-thurau,Dietrich  Thurau,1954.0,76.27098277356318,185.56340779146336,Germany
arnaud-gerard,Arnaud  Gérard,1984.0,70.0,184.0,France
christophe-lavainne,Christophe  Lavainne,1963.0,68.27220904167444,176.50683160026756,France
gonzalo-rabunal-rios,Gonzalo  Rabuñal,1984.0,65.0,180.0,Spain
thomas-bonnet,Thomas  Bonnet,1998.0,65.19917185834359,175.0,France
jean-jacques-philipp,Jean-Jacques  Philipp,1961.0,64.64180212693275,183.93696046725736,France
nico-verhoeven,Nico  Verhoeven,1961.0,72.02697075261949,184.95776594439877,Netherlands
laurent-chotard,Laurent  Chotard,1976.0,67.79277831852869,177.147323916414,France
frederic-garnier,Frédéric  Garnier,1964.0,64.01164971367626,179.65800903251233,France
isaac-canton,Isaac  Cantón,1996.0,65.0,180.0,Spain
alain-vasseur,Alain  Vasseur,1948.0,67.0,175.0,France
jean-pierre-monsere,Jean-Pierre  Monseré,1948.0,66.0,178.0,Belgium
steven-caethoven,Steven  Caethoven,1981.0,67.0,176.0,Belgium
jose-maria-jimenez,José María  Jiménez,1971.0,70.0,187.0,Spain
mattia-cattaneo,Mattia  Cattaneo,1990.0,67.0,184.0,Italy
james-knox,James  Knox,1995.0,58.0,173.0,Great Britain
geert-malfait,Geert  Malfait,1953.0,71.32211886288779,191.54293193310744,Belgium
david-gaudu,David  Gaudu,1996.0,53.0,172.0,France
michele-laddomada,Michele  Laddomada,1972.0,65.99361702500816,177.21121426001287,Italy
bjarne-riis,Bjarne  Riis,1964.0,71.0,184.0,Denmark
jose-alberto-benitez-roman,José Alberto  Benítez,1981.0,66.0,180.0,Spain
patrick-busolini2,Patrick  Busolini,1954.0,69.50318285376804,173.95090683373448,France
roberto-sgambelluri,Roberto  Sgambelluri,1974.0,63.0,175.0,Italy
benno-wiss,Benno  Wiss,1962.0,58.73822989932446,173.0320894301116,Switzerland
michal-hrazdira,Michal  Hrazdira,1977.0,77.0,189.0,Czech Republic
robert-hunter,Robert  Hunter,1977.0,72.0,178.0,South Africa
