points,uci_points,length,climb_total,profile,startlist_quality,position,cyclist_age,delta,label
0.0,-0.0,176400.0,1240.0,1.0,995,20,43.0,243.0,1
0.0,0.0,154000.0,2703.0,3.0,928,134,13.0,195.0,1
0.0,0.0,218500.0,4526.0,5.0,971,20,4.0,772.0,1
0.0,-0.0,167600.0,3893.0,5.0,995,89,16.0,713.0,1
0.0,0.0,163700.0,2677.0,3.0,1128,36,45.0,55.0,1
0.0,0.0,212000.0,230.0,1.0,929,137,32.0,0.0,1
0.0,0.0,208000.0,4199.0,5.0,1123,121,60.0,1154.0,1
0.0,0.0,160000.0,3002.0,3.0,1117,150,40.0,654.0,1
30.0,16.0,110800.0,748.0,1.0,668,2,29.0,0.0,0
0.0,-0.0,22000.0,1036.0,5.0,1632,81,-7.0,290.0,1
0.0,0.0,98800.0,726.0,1.0,1115,102,45.0,41.0,1
0.0,0.0,169300.0,2239.0,2.0,732,69,32.0,0.0,1
0.0,0.0,169000.0,2070.0,1.0,1165,79,12.0,0.0,1
0.0,-0.0,146000.0,2681.0,5.0,734,41,23.0,347.0,1
0.0,0.0,235000.0,3498.0,3.0,705,76,6.0,1453.0,1
0.0,0.0,164000.0,1301.0,1.0,1176,22,27.0,0.0,1
4.0,1.0,186600.0,1251.0,2.0,883,12,18.0,0.0,0
1.0,-0.0,190000.0,4432.0,5.0,935,15,28.0,100.0,0
0.0,0.0,3800.0,233.0,2.0,1089,104,34.0,25.0,1
50.0,60.0,25500.0,157.0,1.0,1099,1,60.0,0.0,0
0.0,0.0,5400.0,2.0,1.0,1017,76,31.0,20.0,1
25.0,8.0,162000.0,2724.0,2.0,925,4,4.0,0.0,0
0.0,0.0,171000.0,2307.0,3.0,1206,105,32.0,681.0,1
26.0,0.0,113000.0,713.0,1.0,1758,6,38.0,0.0,0
0.0,0.0,181000.0,2860.0,1.0,1489,127,18.0,0.0,1
6.0,1.0,202000.0,2500.0,3.0,843,10,4.0,0.0,0
0.0,0.0,183500.0,2210.0,3.0,1646,21,46.0,8.0,1
0.0,0.0,155600.0,2208.0,2.0,804,13,9.0,30.0,0
0.0,0.0,190400.0,4559.0,5.0,798,43,61.0,771.0,1
4.0,1.0,4200.0,248.0,1.0,816,7,33.0,4.0,0
0.0,-0.0,218000.0,2766.0,4.0,997,36,11.0,401.0,1
0.0,0.0,154400.0,3183.0,5.0,1036,157,45.0,1559.0,1
0.0,0.0,171000.0,2449.0,3.0,838,26,42.0,0.0,1
0.0,0.0,177000.0,363.0,1.0,885,95,40.0,0.0,1
0.0,6.0,198400.0,1717.0,2.0,498,41,43.0,581.0,1
0.0,0.0,209000.0,3248.0,5.0,838,162,58.0,1106.0,1
0.0,-0.0,133000.0,2915.0,4.0,676,64,15.0,951.0,1
80.0,186.0,250700.0,3364.0,2.0,1329,5,19.0,4.0,0
