Unnamed: 0,points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
305192,0.0,0.0,186300.0,2556.0,3.0,1551.0,23.0,846.0,1.0
291542,0.0,0.0,161000.0,4153.0,5.0,835.0,32.0,675.0,1.0
310694,0.0,0.0,153000.0,2243.0,2.0,817.0,27.0,213.0,1.0
224728,35.0,95.0,203000.0,5852.0,5.0,835.0,34.0,10711.0,0.0
496472,0.0,0.0,171400.0,3675.0,5.0,968.0,30.0,458.0,1.0
557293,0.0,0.0,148100.0,2733.0,5.0,1551.0,35.0,799.0,1.0
202327,0.0,0.0,9200.0,81.0,1.0,817.0,33.0,134.0,1.0
366723,0.0,0.0,170800.0,2287.0,2.0,539.0,28.0,5254.0,1.0
338352,0.0,0.0,213600.0,2878.0,2.0,1182.0,23.0,923.0,1.0
116192,0.0,0.0,203000.0,369.0,1.0,817.0,25.0,14852.0,1.0
275678,0.0,0.0,168400.0,1766.0,1.0,968.0,35.0,10110.0,1.0
17870,0.0,0.0,184000.0,1303.0,1.0,621.0,28.0,8905.0,1.0
317481,5.0,0.0,257200.0,1362.0,1.0,747.0,24.0,1047.0,1.0
228197,0.0,0.0,185600.0,2703.0,2.0,741.0,34.0,208.0,1.0
78212,25.0,80.0,126000.0,692.0,1.0,835.0,25.0,10673.0,0.0
425369,0.0,0.0,164500.0,3187.0,2.0,719.0,32.0,1012.0,1.0
228277,0.0,0.0,185600.0,2703.0,2.0,741.0,27.0,961.0,1.0
3165,1.0,0.0,202200.0,1149.0,1.0,1551.0,31.0,13380.0,0.0
90749,0.0,0.0,143200.0,4036.0,5.0,1551.0,28.0,1988.0,1.0
233956,0.0,0.0,187200.0,2978.0,2.0,968.0,27.0,423.0,1.0
97005,0.0,0.0,162300.0,2755.0,1.0,968.0,33.0,496.0,1.0
373300,5.0,20.0,18600.0,1070.0,5.0,835.0,21.0,306.0,0.0
23486,0.0,0.0,169000.0,2707.0,5.0,789.0,24.0,165.0,1.0
142210,0.0,0.0,11500.0,3.0,1.0,1044.0,31.0,311.0,1.0
24020,0.0,0.0,193800.0,3261.0,2.0,719.0,33.0,692.0,1.0
12054,0.0,0.0,148400.0,2669.0,2.0,225.0,25.0,310.0,1.0
275705,0.0,0.0,168400.0,1766.0,1.0,968.0,33.0,8724.0,1.0
76029,0.0,0.0,169400.0,1405.0,2.0,981.0,36.0,10125.0,1.0
282580,13.0,25.0,211000.0,4654.0,4.0,855.0,36.0,9342.0,0.0
309094,0.0,0.0,171500.0,1785.0,1.0,1551.0,27.0,11252.0,1.0
93253,0.0,0.0,190800.0,2062.0,2.0,767.0,31.0,11580.0,1.0
319540,0.0,0.0,138300.0,2278.0,4.0,968.0,30.0,928.0,1.0
219454,0.0,0.0,193500.0,2667.0,2.0,1584.0,31.0,8792.0,1.0
115996,0.0,0.0,115100.0,577.0,1.0,1584.0,24.0,10573.0,0.0
460292,0.0,0.0,194100.0,2089.0,2.0,781.0,24.0,7851.0,1.0
275648,1.0,0.0,168400.0,1766.0,1.0,968.0,38.0,11842.0,0.0
439482,30.0,25.0,198000.0,2746.0,2.0,767.0,29.0,15603.0,0.0
110087,0.0,0.0,184300.0,2456.0,3.0,156.0,31.0,889.0,1.0
42138,2.0,0.0,166700.0,3538.0,5.0,722.0,21.0,6504.0,0.0
535197,8.0,0.0,168000.0,4718.0,5.0,817.0,33.0,199.0,0.0
353128,0.0,0.0,168800.0,3120.0,2.0,1584.0,32.0,1104.0,1.0
497058,0.0,0.0,22400.0,636.0,5.0,1584.0,26.0,493.0,1.0
231543,0.0,0.0,181000.0,3977.0,4.0,968.0,23.0,1918.0,1.0
591061,0.0,0.0,195000.0,1390.0,3.0,817.0,30.0,13390.0,1.0
410833,0.0,0.0,166000.0,146.0,1.0,530.0,30.0,7202.0,1.0
3199,0.0,0.0,202200.0,1149.0,1.0,1551.0,37.0,12927.0,1.0
337467,0.0,0.0,174000.0,304.0,1.0,530.0,38.0,12854.0,0.0
343532,0.0,0.0,174000.0,1968.0,2.0,817.0,30.0,12493.0,1.0
74130,0.0,0.0,210000.0,1592.0,2.0,1044.0,31.0,10128.0,1.0
516392,5.0,0.0,258100.00000000003,4443.0,2.0,1042.0,31.0,866.0,1.0
15106,0.0,0.0,155000.0,2402.0,3.0,1059.0,30.0,568.0,1.0
427064,0.0,0.0,196000.0,4730.0,4.0,817.0,29.0,1397.0,1.0
567264,0.0,0.0,175700.0,3091.0,2.0,719.0,23.0,766.0,1.0
462629,0.0,0.0,194600.0,3881.0,5.0,767.0,21.0,1683.0,1.0
406403,0.0,0.0,185000.0,2348.0,2.0,835.0,39.0,822.0,1.0
97035,0.0,0.0,162300.0,2755.0,1.0,968.0,28.0,870.0,1.0
339740,0.0,0.0,202000.0,1831.0,2.0,835.0,27.0,13476.0,1.0
15842,5.0,0.0,254100.0,3460.0,2.0,705.0,31.0,445.0,1.0
248101,0.0,0.0,165100.0,2441.0,2.0,508.0,33.0,7784.0,1.0
44671,0.0,0.0,178500.0,3418.0,4.0,1551.0,26.0,354.0,0.0
273604,0.0,0.0,15840.0,884.0,5.0,508.0,25.0,321.0,1.0
254657,0.0,0.0,182000.0,3221.0,3.0,1584.0,33.0,582.0,1.0
50364,0.0,0.0,9000.0,9.0,1.0,621.0,33.0,-111.0,1.0
42322,0.0,0.0,18100.0,308.0,2.0,156.0,23.0,838.0,1.0
15111,0.0,0.0,155000.0,2402.0,3.0,1059.0,35.0,789.0,1.0
76082,0.0,0.0,169400.0,1405.0,2.0,981.0,23.0,298.0,1.0
237561,0.0,0.0,179000.0,4483.0,5.0,1584.0,30.0,1616.0,1.0
39849,0.0,0.0,171200.0,1688.0,3.0,722.0,28.0,11106.0,1.0
84810,0.0,0.0,188300.0,1316.0,3.0,1551.0,32.0,240.0,1.0
69112,22.0,28.0,194300.0,3092.0,3.0,915.0,24.0,16063.0,0.0
151701,0.0,0.0,117200.0,2465.0,2.0,981.0,25.0,914.0,1.0
75553,0.0,0.0,182000.0,544.0,1.0,621.0,28.0,9660.0,1.0
96971,25.0,12.0,162300.0,2755.0,1.0,968.0,29.0,12083.0,0.0
51425,0.0,0.0,177600.0,2746.0,2.0,767.0,27.0,869.0,1.0
117366,5.0,0.0,294000.0,2154.0,2.0,1047.0,25.0,486.0,1.0
589124,0.0,0.0,196000.0,1764.0,2.0,817.0,31.0,1088.0,1.0
533462,0.0,0.0,192700.0,3238.0,5.0,968.0,38.0,1565.0,1.0
508469,0.0,0.0,137800.0,2413.0,5.0,1584.0,30.0,1106.0,1.0
114440,3.0,0.0,156000.0,1219.0,2.0,817.0,23.0,11779.0,0.0
533083,0.0,0.0,189400.0,1076.0,1.0,968.0,29.0,13671.0,1.0
432395,0.0,0.0,164600.0,2091.0,3.0,704.0,25.0,7974.0,1.0
559975,0.0,0.0,159000.0,1296.0,2.0,1059.0,27.0,10602.0,1.0
149185,0.0,0.0,173700.0,1893.0,2.0,855.0,21.0,370.0,1.0
145668,5.0,0.0,293000.0,2096.0,2.0,938.0,33.0,597.0,1.0
554472,0.0,0.0,143800.0,2617.0,5.0,855.0,23.0,1222.0,1.0
294692,0.0,0.0,182400.0,3441.0,5.0,1584.0,30.0,967.0,1.0
385289,0.0,0.0,208900.0,2949.0,2.0,1584.0,34.0,7656.0,1.0
437134,2.0,0.0,115600.0,748.0,1.0,1551.0,34.0,9178.0,0.0
319532,0.0,0.0,138300.0,2278.0,4.0,968.0,24.0,928.0,1.0
107749,0.0,0.0,170000.0,2063.0,2.0,1059.0,29.0,6720.0,1.0
554377,0.0,0.0,143800.0,2617.0,5.0,855.0,33.0,526.0,1.0
362787,0.0,0.0,150000.0,1817.0,2.0,817.0,31.0,158.0,1.0
96968,80.0,100.0,162300.0,2755.0,1.0,968.0,35.0,0.0,0.0
433775,15.0,0.0,266900.0,4167.0,2.0,1052.0,29.0,688.0,1.0
219578,0.0,0.0,193500.0,2667.0,2.0,1584.0,29.0,129.0,1.0
408205,0.0,0.0,183500.0,2453.0,2.0,855.0,38.0,14464.0,1.0
348100,0.0,0.0,219000.0,2144.0,2.0,1059.0,33.0,666.0,1.0
434832,0.0,0.0,162300.0,1991.0,2.0,789.0,30.0,9711.0,1.0
592541,0.0,0.0,201000.0,1150.0,1.0,817.0,28.0,12950.0,1.0
272371,0.0,0.0,165600.0,3682.0,5.0,1044.0,23.0,1282.0,1.0
591127,0.0,0.0,195000.0,1390.0,3.0,817.0,38.0,96.0,1.0
336581,0.0,0.0,168600.0,2706.0,2.0,722.0,26.0,663.0,1.0
499209,0.0,0.0,144900.0,3894.0,5.0,1584.0,28.0,1923.0,1.0
93717,0.0,0.0,155200.0,3582.0,5.0,1182.0,28.0,758.0,1.0
106226,8.0,10.0,253000.0,4852.0,2.0,1019.0,29.0,205.0,1.0
24065,0.0,0.0,193800.0,3261.0,2.0,719.0,25.0,1080.0,1.0
343762,0.0,0.0,13900.0,4.0,1.0,1059.0,37.0,358.0,1.0
427058,0.0,0.0,196000.0,4730.0,4.0,817.0,38.0,1201.0,1.0
51344,0.0,0.0,177600.0,2746.0,2.0,767.0,37.0,112.0,1.0
232010,0.0,0.0,142900.0,3554.0,5.0,981.0,23.0,1641.0,1.0
42366,0.0,0.0,18100.0,308.0,2.0,156.0,25.0,858.0,1.0
293792,0.0,0.0,163700.0,815.0,1.0,981.0,29.0,9563.0,1.0
533176,0.0,0.0,189400.0,1076.0,1.0,968.0,28.0,242.0,1.0
300233,0.0,0.0,164700.0,2470.0,5.0,981.0,33.0,1342.0,1.0
211629,0.0,0.0,171000.0,2529.0,2.0,835.0,26.0,2431.0,1.0
348102,0.0,0.0,219000.0,2144.0,2.0,1059.0,26.0,666.0,1.0
294799,0.0,0.0,182400.0,3441.0,5.0,1584.0,28.0,1736.0,1.0
560066,0.0,0.0,159000.0,1296.0,2.0,1059.0,25.0,121.0,1.0
379548,0.0,0.0,177000.0,4019.0,5.0,817.0,24.0,2311.0,1.0
70088,0.0,0.0,147000.0,3167.0,2.0,817.0,30.0,1822.0,1.0
441879,0.0,0.0,138800.0,3782.0,5.0,789.0,25.0,1131.0,1.0
142224,0.0,0.0,11500.0,3.0,1.0,1044.0,24.0,263.0,1.0
382032,7.0,10.0,180600.0,3998.0,5.0,704.0,34.0,7115.0,0.0
433789,15.0,0.0,266900.0,4167.0,2.0,1052.0,27.0,905.0,1.0
477310,0.0,0.0,194000.0,2336.0,2.0,835.0,37.0,1271.0,1.0
69219,5.0,0.0,194300.0,3092.0,3.0,915.0,24.0,484.0,1.0
12128,0.0,0.0,148400.0,2669.0,2.0,225.0,39.0,1236.0,1.0
283764,6.0,0.0,192000.0,3680.0,5.0,968.0,35.0,5193.0,0.0
283058,0.0,0.0,177500.0,4155.0,5.0,767.0,30.0,1475.0,1.0
211257,0.0,0.0,148000.0,1364.0,5.0,621.0,32.0,281.0,1.0
127053,0.0,0.0,218000.0,2503.0,3.0,1044.0,33.0,598.0,1.0
460201,0.0,0.0,194100.0,2089.0,2.0,781.0,22.0,14091.0,0.0
100614,0.0,0.0,174100.0,2534.0,2.0,704.0,21.0,524.0,1.0
12135,0.0,0.0,148400.0,2669.0,2.0,225.0,23.0,1356.0,1.0
499073,22.0,45.0,144900.0,3894.0,5.0,1584.0,22.0,159.0,0.0
273627,0.0,0.0,15840.0,884.0,5.0,508.0,22.0,492.0,1.0
327337,3.0,0.0,153400.0,3741.0,5.0,968.0,20.0,130.0,0.0
305185,0.0,0.0,186300.0,2556.0,3.0,1551.0,25.0,642.0,1.0
18309,0.0,0.0,25600.0,131.0,1.0,767.0,25.0,406.0,1.0
47748,0.0,0.0,170200.0,3406.0,5.0,781.0,28.0,635.0,1.0
432966,0.0,0.0,202500.0,2416.0,2.0,1551.0,36.0,7877.0,1.0
262197,0.0,0.0,190100.0,2610.0,3.0,767.0,28.0,1639.0,1.0
42293,0.0,0.0,18100.0,308.0,2.0,156.0,29.0,708.0,1.0
532433,0.0,0.0,212400.0,1958.0,1.0,981.0,31.0,14034.0,1.0
487592,0.0,0.0,204000.0,2867.0,2.0,817.0,33.0,548.0,1.0
76032,0.0,0.0,169400.0,1405.0,2.0,981.0,32.0,9974.0,1.0
