points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
0,0.0,193500.0,2667.0,2.0,1584,31.0,8792.0,1
0,0.0,115100.0,577.0,1.0,1584,24.0,10573.0,0
0,0.0,194100.0,2089.0,2.0,781,24.0,7851.0,1
1,0.0,168400.0,1766.0,1.0,968,38.0,11842.0,0
30,25.0,198000.0,2746.0,2.0,767,29.0,15603.0,0
0,0.0,184300.0,2456.0,3.0,156,31.0,889.0,1
2,0.0,166700.0,3538.0,5.0,722,21.0,6504.0,0
8,0.0,168000.0,4718.0,5.0,817,33.0,199.0,0
0,0.0,168800.0,3120.0,2.0,1584,32.0,1104.0,1
0,0.0,22400.0,636.0,5.0,1584,26.0,493.0,1
0,0.0,181000.0,3977.0,4.0,968,23.0,1918.0,1
0,0.0,195000.0,1390.0,3.0,817,30.0,13390.0,1
0,0.0,166000.0,146.0,1.0,530,30.0,7202.0,1
0,0.0,202200.0,1149.0,1.0,1551,37.0,12927.0,1
0,0.0,174000.0,304.0,1.0,530,38.0,12854.0,0
0,0.0,174000.0,1968.0,2.0,817,30.0,12493.0,1
0,0.0,210000.0,1592.0,2.0,1044,31.0,10128.0,1
5,0.0,258100.00000000003,4443.0,2.0,1042,31.0,866.0,1
0,0.0,155000.0,2402.0,3.0,1059,30.0,568.0,1
0,0.0,196000.0,4730.0,4.0,817,29.0,1397.0,1
0,0.0,175700.0,3091.0,2.0,719,23.0,766.0,1
0,0.0,194600.0,3881.0,5.0,767,21.0,1683.0,1
0,0.0,185000.0,2348.0,2.0,835,39.0,822.0,1
0,0.0,162300.0,2755.0,1.0,968,28.0,870.0,1
0,0.0,202000.0,1831.0,2.0,835,27.0,13476.0,1
5,0.0,254100.0,3460.0,2.0,705,31.0,445.0,1
0,0.0,165100.0,2441.0,2.0,508,33.0,7784.0,1
0,0.0,178500.0,3418.0,4.0,1551,26.0,354.0,0
0,0.0,15840.0,884.0,5.0,508,25.0,321.0,1
0,0.0,182000.0,3221.0,3.0,1584,33.0,582.0,1
0,0.0,9000.0,9.0,1.0,621,33.0,-111.0,1
0,0.0,18100.0,308.0,2.0,156,23.0,838.0,1
0,0.0,155000.0,2402.0,3.0,1059,35.0,789.0,1
0,0.0,169400.0,1405.0,2.0,981,23.0,298.0,1
0,0.0,179000.0,4483.0,5.0,1584,30.0,1616.0,1
0,0.0,171200.0,1688.0,3.0,722,28.0,11106.0,1
0,0.0,188300.0,1316.0,3.0,1551,32.0,240.0,1
22,28.0,194300.0,3092.0,3.0,915,24.0,16063.0,0
0,0.0,117200.0,2465.0,2.0,981,25.0,914.0,1
0,0.0,182000.0,544.0,1.0,621,28.0,9660.0,1
25,12.0,162300.0,2755.0,1.0,968,29.0,12083.0,0
0,0.0,177600.0,2746.0,2.0,767,27.0,869.0,1
5,0.0,294000.0,2154.0,2.0,1047,25.0,486.0,1
0,0.0,196000.0,1764.0,2.0,817,31.0,1088.0,1
0,0.0,192700.0,3238.0,5.0,968,38.0,1565.0,1
0,0.0,137800.0,2413.0,5.0,1584,30.0,1106.0,1
3,0.0,156000.0,1219.0,2.0,817,23.0,11779.0,0
0,0.0,189400.0,1076.0,1.0,968,29.0,13671.0,1
0,0.0,164600.0,2091.0,3.0,704,25.0,7974.0,1
0,0.0,159000.0,1296.0,2.0,1059,27.0,10602.0,1
0,0.0,173700.0,1893.0,2.0,855,21.0,370.0,1
5,0.0,293000.0,2096.0,2.0,938,33.0,597.0,1
0,0.0,143800.0,2617.0,5.0,855,23.0,1222.0,1
0,0.0,182400.0,3441.0,5.0,1584,30.0,967.0,1
0,0.0,208900.0,2949.0,2.0,1584,34.0,7656.0,1
2,0.0,115600.0,748.0,1.0,1551,34.0,9178.0,0
0,0.0,138300.0,2278.0,4.0,968,24.0,928.0,1
0,0.0,170000.0,2063.0,2.0,1059,29.0,6720.0,1
0,0.0,143800.0,2617.0,5.0,855,33.0,526.0,1
0,0.0,150000.0,1817.0,2.0,817,31.0,158.0,1
80,100.0,162300.0,2755.0,1.0,968,35.0,0.0,0
15,0.0,266900.0,4167.0,2.0,1052,29.0,688.0,1
0,0.0,193500.0,2667.0,2.0,1584,29.0,129.0,1
0,0.0,183500.0,2453.0,2.0,855,38.0,14464.0,1
0,0.0,219000.0,2144.0,2.0,1059,33.0,666.0,1
0,0.0,162300.0,1991.0,2.0,789,30.0,9711.0,1
0,0.0,201000.0,1150.0,1.0,817,28.0,12950.0,1
0,0.0,165600.0,3682.0,5.0,1044,23.0,1282.0,1
0,0.0,195000.0,1390.0,3.0,817,38.0,96.0,1
0,0.0,168600.0,2706.0,2.0,722,26.0,663.0,1
0,0.0,144900.0,3894.0,5.0,1584,28.0,1923.0,1
0,0.0,155200.0,3582.0,5.0,1182,28.0,758.0,1
8,10.0,253000.0,4852.0,2.0,1019,29.0,205.0,1
0,0.0,193800.0,3261.0,2.0,719,25.0,1080.0,1
0,0.0,13900.0,4.0,1.0,1059,37.0,358.0,1
0,0.0,196000.0,4730.0,4.0,817,38.0,1201.0,1
0,0.0,177600.0,2746.0,2.0,767,37.0,112.0,1
0,0.0,142900.0,3554.0,5.0,981,23.0,1641.0,1
0,0.0,18100.0,308.0,2.0,156,25.0,858.0,1
0,0.0,163700.0,815.0,1.0,981,29.0,9563.0,1
0,0.0,189400.0,1076.0,1.0,968,28.0,242.0,1
0,0.0,164700.0,2470.0,5.0,981,33.0,1342.0,1
0,0.0,171000.0,2529.0,2.0,835,26.0,2431.0,1
0,0.0,219000.0,2144.0,2.0,1059,26.0,666.0,1
0,0.0,182400.0,3441.0,5.0,1584,28.0,1736.0,1
