points,uci_points,length,climb_total,profile,startlist_quality,cyclist_age,delta,label
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,37.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,33.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,39.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,1655.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,1732.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,23.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,25.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,37.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,26.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,32.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,29.0,2085.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,33.0,2159.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,34.0,2159.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,24.0,2165.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,31.0,2165.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,2165.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,28.0,2165.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,33.0,2165.0,1.0
0.0,0.0,192900.0,3743.0,3.0,1551.0,30.0,2165.0,1.0
50.0,60.0,134800.0,3828.0,5.0,789.0,30.0,0.0,0.0
30.0,25.0,134800.0,3828.0,5.0,789.0,33.0,9508.0,0.0
18.0,10.0,134800.0,3828.0,5.0,789.0,26.0,8424.0,0.0
13.0,0.0,134800.0,3828.0,5.0,789.0,27.0,7339.0,0.0
10.0,0.0,134800.0,3828.0,5.0,789.0,23.0,6719.0,0.0
7.0,0.0,134800.0,3828.0,5.0,789.0,32.0,5493.0,0.0
4.0,0.0,134800.0,3828.0,5.0,789.0,26.0,4735.0,0.0
3.0,0.0,134800.0,3828.0,5.0,789.0,30.0,4077.0,0.0
2.0,0.0,134800.0,3828.0,5.0,789.0,27.0,3783.0,0.0
1.0,0.0,134800.0,3828.0,5.0,789.0,29.0,3235.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,35.0,2295.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,73.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,79.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,23.0,79.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,22.0,86.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,26.0,90.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,94.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,28.0,127.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,31.0,127.0,0.0
0.0,0.0,134800.0,3828.0,5.0,789.0,24.0,147.0,1.0
